timestamp_utc,ticker,price_close,next_price_close,return_1h_pct,market_direction,sentiment_score,sentiment_direction,is_match
2026-03-25T13:30:00Z,AMZN,211.83,211.16,-0.3163,-1,-0.766,-1,1
2026-03-25T14:30:00Z,AMZN,211.16,211.89,0.3457,1,-0.969,-1,0
2026-03-25T15:30:00Z,AMZN,211.89,212.55,0.3115,1,0.621,1,1
2026-03-25T16:30:00Z,AMZN,212.55,211.65,-0.4234,-1,-0.225,-1,1
2026-03-25T17:30:00Z,AMZN,211.65,211.47,-0.085,-1,-0.58,-1,1
2026-03-25T18:30:00Z,AMZN,211.47,211.71,0.1111,1,0.758,1,1
2026-03-25T19:30:00Z,AMZN,211.71,212.0,0.1393,1,-0.646,-1,0
2026-03-26T13:30:00Z,AMZN,212.0,211.93,-0.033,-1,-0.694,-1,1
2026-03-26T14:30:00Z,AMZN,211.93,210.43,-0.7078,-1,-0.319,-1,1
2026-03-26T15:30:00Z,AMZN,210.43,209.25,-0.5608,-1,0.742,1,0
2026-03-26T16:30:00Z,AMZN,209.25,208.19,-0.5066,-1,-0.137,-1,1
2026-03-26T17:30:00Z,AMZN,208.19,208.27,0.0391,1,0.606,1,1
2026-03-26T18:30:00Z,AMZN,208.27,207.53,-0.356,-1,-0.512,-1,1
2026-03-26T19:30:00Z,AMZN,207.53,201.23,-3.0357,-1,0.577,1,0
2026-03-27T13:30:00Z,AMZN,201.23,201.09,-0.0696,-1,-0.093,0,0
2026-03-27T14:30:00Z,AMZN,201.09,200.73,-0.179,-1,-0.706,-1,1
2026-03-27T15:30:00Z,AMZN,200.73,200.83,0.0498,1,0.098,0,0
2026-03-27T16:30:00Z,AMZN,200.83,200.45,-0.1892,-1,-0.255,-1,1
2026-03-27T17:30:00Z,AMZN,200.45,200.11,-0.1696,-1,0.413,1,0
2026-03-27T18:30:00Z,AMZN,200.11,199.32,-0.3948,-1,-0.289,-1,1
2026-03-27T19:30:00Z,AMZN,199.32,201.37,1.0285,1,0.547,1,1
2026-03-30T13:30:00Z,AMZN,201.37,203.04,0.8293,1,0.413,1,1
2026-03-30T14:30:00Z,AMZN,203.04,202.64,-0.199,-1,0.183,1,0
2026-03-30T15:30:00Z,AMZN,202.64,201.71,-0.457,-1,0.304,1,0
2026-03-30T16:30:00Z,AMZN,201.71,200.94,-0.3817,-1,0.983,1,0
2026-03-30T17:30:00Z,AMZN,200.94,200.11,-0.4131,-1,-0.668,-1,1
2026-03-30T18:30:00Z,AMZN,200.11,200.9,0.3948,1,0.36,1,1
2026-03-30T19:30:00Z,AMZN,200.9,206.21,2.6406,1,0.584,1,1
2026-03-31T13:30:00Z,AMZN,206.21,206.01,-0.0946,-1,-0.622,-1,1
2026-03-31T14:30:00Z,AMZN,206.01,206.35,0.165,1,0.28,1,1
2026-03-31T15:30:00Z,AMZN,206.35,209.15,1.3594,1,0.555,1,1
2026-03-31T16:30:00Z,AMZN,209.15,208.68,-0.2271,-1,0.142,1,0
2026-03-31T17:30:00Z,AMZN,208.68,209.04,0.1701,1,-0.263,-1,0
2026-03-31T18:30:00Z,AMZN,209.04,208.29,-0.3564,-1,-0.56,-1,1
2026-03-31T19:30:00Z,AMZN,208.29,210.75,1.181,1,0.56,1,1
2026-04-01T13:30:00Z,AMZN,210.75,212.04,0.6097,1,0.854,1,1
2026-04-01T14:30:00Z,AMZN,212.04,212.95,0.4325,1,-0.726,-1,0
2026-04-01T15:30:00Z,AMZN,212.95,212.49,-0.2146,-1,0.194,1,0
2026-04-01T16:30:00Z,AMZN,212.49,210.53,-0.9247,-1,-0.371,-1,1
2026-04-01T17:30:00Z,AMZN,210.53,211.75,0.5795,1,-0.727,-1,0
2026-04-01T18:30:00Z,AMZN,211.75,210.57,-0.5573,-1,-0.317,-1,1
2026-04-01T19:30:00Z,AMZN,210.57,208.94,-0.7741,-1,0.287,1,0
2026-04-02T13:30:00Z,AMZN,208.94,210.43,0.7131,1,-0.897,-1,0
2026-04-02T14:30:00Z,AMZN,210.43,209.27,-0.5512,-1,-0.611,-1,1
2026-04-02T15:30:00Z,AMZN,209.27,209.61,0.1625,1,-0.779,-1,0
2026-04-02T16:30:00Z,AMZN,209.61,209.02,-0.2815,-1,0.479,1,0
2026-04-02T17:30:00Z,AMZN,209.02,209.11,0.0431,1,-0.34,-1,0
2026-04-02T18:30:00Z,AMZN,209.11,209.77,0.3156,1,0.317,1,1
2026-04-02T19:30:00Z,AMZN,209.77,209.77,0.0,0,0.052,0,1
